brand,nom_etablissement,source,note_brute,note_std,texte,texte_propre,langue,date,theme_label,theme_score,theme_scores,sentiment_stars,sentiment_score,sentiment_label,texte_sentiment
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 2 Chambres 1 nuit · février 2026 Commentaire envoyé le 28 février 2026 Avec une note de 8,0 Le tarif et le cadre très nature Ni gel douche ni shampoing pas cool et un peu loin à pied pour des enfants des plages","Chalet 2 Chambres 1 nuit · février 2026 Commentaire envoyé le 28 février 2026 Avec une note de 8,0 Le tarif et le cadre très nature Ni gel douche ni shampoing pas cool et un peu loin à pied pour des enfants des plages",fr,2026-02-28,nature et environnement,0.9987,"{'nature et environnement': 0.9987, 'propreté et sanitaires': 0.9983, 'rapport qualité-prix': 0.9966, 'hébergement et confort': 0.9793, 'accueil et personnel': 0.5158, 'activités et animations': 0.4107, 'restauration et alimentation': 0.3253}",3,0.4874,Neutre,Le tarif et le cadre très nature Ni gel douche ni shampoing pas cool et un peu loin à pied pour des enfants des plages
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 1 Chambre 2 nuits · février 2026 Commentaire envoyé le 27 février 2026 Fantastic mini break Avec une note de 9,0 Le calme, la nature, la situation géographique, la propreté de la location. La banquette dans la cuisine est très inconfortable et une dizaine de cm en plus autour du lit seraient les bienvenus 🙂","Chalet 1 Chambre 2 nuits · février 2026 Commentaire envoyé le 27 février 2026 Fantastic mini break Avec une note de 9,0 Le calme, la nature, la situation géographique, la propreté de la location. La banquette dans la cuisine est très inconfortable et une dizaine de cm en plus autour du lit seraient les bienvenus 🙂",fr,2026-02-27,nature et environnement,0.9992,"{'nature et environnement': 0.9992, 'hébergement et confort': 0.9603, 'rapport qualité-prix': 0.6801, 'activités et animations': 0.53, 'restauration et alimentation': 0.2942, 'accueil et personnel': 0.0674, 'propreté et sanitaires': 0.0123}",5,0.6261,Positif,"Fantastic mini break Le calme, la nature, la situation géographique, la propreté de la location. La banquette dans la cuisine est très inconfortable et une dizaine de cm en plus autour du lit seraient les bienvenus 🙂"
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 1 Chambre 2 nuits · décembre 2025 Commentaire envoyé le 17 février 2026 Avec une note de 8,0 Proximité de la ville ,plage, calme Chalet pour 3 personnes un peu exiguë.","Chalet 1 Chambre 2 nuits · décembre 2025 Commentaire envoyé le 17 février 2026 Avec une note de 8,0 Proximité de la ville ,plage, calme Chalet pour 3 personnes un peu exiguë.",fr,2026-02-17,hébergement et confort,0.9975,"{'hébergement et confort': 0.9975, 'rapport qualité-prix': 0.9879, 'accueil et personnel': 0.9254, 'propreté et sanitaires': 0.5822, 'activités et animations': 0.2332, 'restauration et alimentation': 0.1054, 'nature et environnement': 0.1028}",4,0.4509,Positif,"Proximité de la ville ,plage, calme Chalet pour 3 personnes un peu exiguë."
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,Chalet 2 Chambres 1 nuit · février 2026 Voyageur individuel Commentaire envoyé le 12 février 2026 Avec une note de 10,Chalet 2 Chambres 1 nuit · février 2026 Voyageur individuel Commentaire envoyé le 12 février 2026 Avec une note de 10,fr,2026-02-12,hébergement et confort,0.9854,"{'hébergement et confort': 0.9854, 'rapport qualité-prix': 0.9074, 'activités et animations': 0.8514, 'restauration et alimentation': 0.7852, 'accueil et personnel': 0.6686, 'propreté et sanitaires': 0.3502, 'nature et environnement': 0.3375}",5,0.6,Positif,
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,Chalet 1 Chambre 5 nuits · janvier 2026 Commentaire envoyé le 7 janvier 2026 Avec une note de 10 Le chalet en bois plus confortable et attirant qu'un mobilhomme Il manquait seulement 1 grille pain et l'option tv suivant la saison,Chalet 1 Chambre 5 nuits · janvier 2026 Commentaire envoyé le 7 janvier 2026 Avec une note de 10 Le chalet en bois plus confortable et attirant qu'un mobilhomme Il manquait seulement 1 grille pain et l'option tv suivant la saison,fr,2026-01-07,hébergement et confort,0.9994,"{'hébergement et confort': 0.9994, 'rapport qualité-prix': 0.9232, 'activités et animations': 0.8552, 'propreté et sanitaires': 0.7335, 'accueil et personnel': 0.6285, 'nature et environnement': 0.1664, 'restauration et alimentation': 0.0266}",4,0.3421,Positif,Le chalet en bois plus confortable et attirant qu'un mobilhomme Il manquait seulement 1 grille pain et l'option tv suivant la saison
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 1 Chambre 3 nuits · janvier 2026 Commentaire envoyé le 2 janvier 2026 Avec une note de 8,0 Habitacles, environnement, très nature Promiscuité entre les chalets Chalets pas très bien isolé, on entend bien les voisins","Chalet 1 Chambre 3 nuits · janvier 2026 Commentaire envoyé le 2 janvier 2026 Avec une note de 8,0 Habitacles, environnement, très nature Promiscuité entre les chalets Chalets pas très bien isolé, on entend bien les voisins",fr,2026-01-02,nature et environnement,0.9995,"{'nature et environnement': 0.9995, 'propreté et sanitaires': 0.542, 'rapport qualité-prix': 0.4505, 'activités et animations': 0.3414, 'hébergement et confort': 0.0575, 'accueil et personnel': 0.049, 'restauration et alimentation': 0.0017}",3,0.4902,Neutre,"Habitacles, environnement, très nature Promiscuité entre les chalets Chalets pas très bien isolé, on entend bien les voisins"
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 1 Chambre 2 nuits · décembre 2025 Commentaire envoyé le 29 décembre 2025 Calme, reposant et agréable Avec une note de 9,0 Localisation, calme, et très nature malgré un centre-ville. Les chaises!! Pas très confortable, en accord avec le style de location par contre pas très agréable !","Chalet 1 Chambre 2 nuits · décembre 2025 Commentaire envoyé le 29 décembre 2025 Calme, reposant et agréable Avec une note de 9,0 Localisation, calme, et très nature malgré un centre-ville. Les chaises!! Pas très confortable, en accord avec le style de location par contre pas très agréable !",fr,2025-12-29,hébergement et confort,0.998,"{'hébergement et confort': 0.998, 'nature et environnement': 0.9972, 'rapport qualité-prix': 0.9037, 'propreté et sanitaires': 0.5805, 'restauration et alimentation': 0.2804, 'accueil et personnel': 0.2159, 'activités et animations': 0.1882}",3,0.4762,Neutre,"Calme, reposant et agréable Localisation, calme, et très nature malgré un centre-ville. Les chaises!! Pas très confortable, en accord avec le style de location par contre pas très agréable !"
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,"Chalet 1 Chambre 2 nuits · décembre 2025 Voyageur individuel Commentaire envoyé le 29 décembre 2025 Très très bien, mis à part le canapé lit Avec une note de 10 L’emplacement, la propriété, le côté cocooning du chalet. Le canapé lit pas très confortable","Chalet 1 Chambre 2 nuits · décembre 2025 Voyageur individuel Commentaire envoyé le 29 décembre 2025 Très très bien, mis à part le canapé lit Avec une note de 10 L’emplacement, la propriété, le côté cocooning du chalet. Le canapé lit pas très confortable",fr,2025-12-29,hébergement et confort,0.9498,"{'hébergement et confort': 0.9498, 'rapport qualité-prix': 0.0753, 'nature et environnement': 0.0172, 'activités et animations': 0.0137, 'accueil et personnel': 0.0062, 'propreté et sanitaires': 0.0047, 'restauration et alimentation': 0.0017}",4,0.7394,Positif,"Très très bien, mis à part le canapé lit L’emplacement, la propriété, le côté cocooning du chalet. Le canapé lit pas très confortable"
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 1 Chambre 4 nuits · novembre 2025 Commentaire envoyé le 4 décembre 2025 Avec une note de 9,0 Superbe Tiny House au milieu des arbres et de la nature. Très calme. Ressourçant. A proximité du centre ville d'Arcachon et de l'océan. Personnel très réactif et professionnel. pas de wifi mais cela n'a pas été un problème","Chalet 1 Chambre 4 nuits · novembre 2025 Commentaire envoyé le 4 décembre 2025 Avec une note de 9,0 Superbe Tiny House au milieu des arbres et de la nature. Très calme. Ressourçant. A proximité du centre ville d'Arcachon et de l'océan. Personnel très réactif et professionnel. pas de wifi mais cela n'a pas été un problème",fr,2025-12-04,nature et environnement,0.9982,"{'nature et environnement': 0.9982, 'hébergement et confort': 0.9684, 'accueil et personnel': 0.8858, 'rapport qualité-prix': 0.8085, 'propreté et sanitaires': 0.3703, 'activités et animations': 0.2723, 'restauration et alimentation': 0.0049}",5,0.6707,Positif,Superbe Tiny House au milieu des arbres et de la nature. Très calme. Ressourçant. A proximité du centre ville d'Arcachon et de l'océan. Personnel très réactif et professionnel. pas de wifi mais cela n'a pas été un problème
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 3 Chambres 3 nuits · novembre 2025 Commentaire envoyé le 21 novembre 2025 Avec une note de 8,0 le coté nature tout en étant à proximité d Arcachon 5minutes en voiture hors saison le prix des draps et serviettes que je n ai pas pris venant en voiture c était possible pour moi de les amener","Chalet 3 Chambres 3 nuits · novembre 2025 Commentaire envoyé le 21 novembre 2025 Avec une note de 8,0 le coté nature tout en étant à proximité d Arcachon 5minutes en voiture hors saison le prix des draps et serviettes que je n ai pas pris venant en voiture c était possible pour moi de les amener",fr,2025-11-21,nature et environnement,0.9991,"{'nature et environnement': 0.9991, 'hébergement et confort': 0.9968, 'rapport qualité-prix': 0.9896, 'propreté et sanitaires': 0.9857, 'activités et animations': 0.8368, 'restauration et alimentation': 0.6914, 'accueil et personnel': 0.6215}",3,0.3184,Neutre,le coté nature tout en étant à proximité d Arcachon 5minutes en voiture hors saison le prix des draps et serviettes que je n ai pas pris venant en voiture c était possible pour moi de les amener
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"4 nuits · octobre 2025 Commentaire envoyé le 15 novembre 2025 Avec une note de 9,0 Emplacement, hébergement , propreté 👍🏼 Le bruit des glands qui tombent sur le toit de la roulotte la nuit.","4 nuits · octobre 2025 Commentaire envoyé le 15 novembre 2025 Avec une note de 9,0 Emplacement, hébergement , propreté 👍🏼 Le bruit des glands qui tombent sur le toit de la roulotte la nuit.",fr,2025-11-15,hébergement et confort,0.9977,"{'hébergement et confort': 0.9977, 'propreté et sanitaires': 0.9525, 'nature et environnement': 0.9345, 'activités et animations': 0.6842, 'rapport qualité-prix': 0.6016, 'accueil et personnel': 0.5784, 'restauration et alimentation': 0.0459}",3,0.3102,Neutre,"Emplacement, hébergement , propreté 👍🏼 Le bruit des glands qui tombent sur le toit de la roulotte la nuit."
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 1 Chambre 3 nuits · novembre 2025 Voyageur individuel Commentaire envoyé le 11 novembre 2025 Avec une note de 9,0 J'adore cette ambiance de petits chalets en bois dans la forêt. On se sens en pleine nature et en même temps à quelques minutes à pied du centre ville et de la plage. Je n'ai rien apprécié en particulier, juste le lit qui n'est pas d'un grand confort mais pour le rapport qualité prix de mon séjour c'était très bien.","Chalet 1 Chambre 3 nuits · novembre 2025 Voyageur individuel Commentaire envoyé le 11 novembre 2025 Avec une note de 9,0 J'adore cette ambiance de petits chalets en bois dans la forêt. On se sens en pleine nature et en même temps à quelques minutes à pied du centre ville et de la plage. Je n'ai rien apprécié en particulier, juste le lit qui n'est pas d'un grand confort mais pour le rapport qualité prix de mon séjour c'était très bien.",fr,2025-11-11,rapport qualité-prix,0.9672,"{'rapport qualité-prix': 0.9672, 'nature et environnement': 0.7883, 'hébergement et confort': 0.254, 'activités et animations': 0.0843, 'accueil et personnel': 0.0034, 'propreté et sanitaires': 0.0026, 'restauration et alimentation': 0.002}",4,0.5078,Positif,"J'adore cette ambiance de petits chalets en bois dans la forêt. On se sens en pleine nature et en même temps à quelques minutes à pied du centre ville et de la plage. Je n'ai rien apprécié en particulier, juste le lit qui n'est pas d'un grand confort mais pour le rapport qualité prix de mon séjour c'était très bien."
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,"3 nuits · septembre 2025 Commentaire envoyé le 6 novembre 2025 Avec une note de 10 Très sympa, nous avons eu une bonne expérience Le réfrigérateur n’avait pas été vide","3 nuits · septembre 2025 Commentaire envoyé le 6 novembre 2025 Avec une note de 10 Très sympa, nous avons eu une bonne expérience Le réfrigérateur n’avait pas été vide",fr,2025-11-06,hébergement et confort,0.9902,"{'hébergement et confort': 0.9902, 'rapport qualité-prix': 0.9865, 'propreté et sanitaires': 0.9567, 'activités et animations': 0.9562, 'accueil et personnel': 0.8991, 'nature et environnement': 0.8431, 'restauration et alimentation': 0.6405}",4,0.4515,Positif,"Très sympa, nous avons eu une bonne expérience Le réfrigérateur n’avait pas été vide"
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 2 Chambres 3 nuits · octobre 2025 Commentaire envoyé le 16 octobre 2025 Avec une note de 9,0 La proximité du centre ville Le calme,la verdure","Chalet 2 Chambres 3 nuits · octobre 2025 Commentaire envoyé le 16 octobre 2025 Avec une note de 9,0 La proximité du centre ville Le calme,la verdure",fr,2025-10-16,nature et environnement,0.9657,"{'nature et environnement': 0.9657, 'hébergement et confort': 0.9524, 'rapport qualité-prix': 0.9326, 'activités et animations': 0.794, 'restauration et alimentation': 0.7793, 'accueil et personnel': 0.4697, 'propreté et sanitaires': 0.3201}",5,0.4754,Positif,"La proximité du centre ville Le calme,la verdure"
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 2 Chambres 3 nuits · octobre 2025 Commentaire envoyé le 14 octobre 2025 Avec une note de 8,0 Le cadre, le calme Chambre trop petite, matelas pas confortable, pas d'espace pour ranger les vêtements","Chalet 2 Chambres 3 nuits · octobre 2025 Commentaire envoyé le 14 octobre 2025 Avec une note de 8,0 Le cadre, le calme Chambre trop petite, matelas pas confortable, pas d'espace pour ranger les vêtements",fr,2025-10-14,hébergement et confort,0.9897,"{'hébergement et confort': 0.9897, 'nature et environnement': 0.9169, 'propreté et sanitaires': 0.9147, 'rapport qualité-prix': 0.8783, 'activités et animations': 0.7818, 'restauration et alimentation': 0.5931, 'accueil et personnel': 0.4316}",2,0.6237,Négatif,"Le cadre, le calme Chambre trop petite, matelas pas confortable, pas d'espace pour ranger les vêtements"
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 2 Chambres 3 nuits · octobre 2025 Commentaire envoyé le 13 octobre 2025 Avec une note de 8,0 C'est un lieu reposant. Ont a passé un bon moment en famille Sur me site la piscine était ouverte et a notre arrivée c'était fermé. Je pense qu'il faudrait mettre a jour.","Chalet 2 Chambres 3 nuits · octobre 2025 Commentaire envoyé le 13 octobre 2025 Avec une note de 8,0 C'est un lieu reposant. Ont a passé un bon moment en famille Sur me site la piscine était ouverte et a notre arrivée c'était fermé. Je pense qu'il faudrait mettre a jour.",fr,2025-10-13,hébergement et confort,0.9198,"{'hébergement et confort': 0.9198, 'propreté et sanitaires': 0.9128, 'nature et environnement': 0.856, 'activités et animations': 0.8009, 'rapport qualité-prix': 0.7935, 'restauration et alimentation': 0.6784, 'accueil et personnel': 0.2697}",3,0.4254,Neutre,C'est un lieu reposant. Ont a passé un bon moment en famille Sur me site la piscine était ouverte et a notre arrivée c'était fermé. Je pense qu'il faudrait mettre a jour.
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,"2 nuits · septembre 2025 Commentaire envoyé le 12 octobre 2025 Avec une note de 10 La tente au milieu de la nature était vraiment très agréable, hébergement original","2 nuits · septembre 2025 Commentaire envoyé le 12 octobre 2025 Avec une note de 10 La tente au milieu de la nature était vraiment très agréable, hébergement original",fr,2025-10-12,nature et environnement,0.9977,"{'nature et environnement': 0.9977, 'activités et animations': 0.8598, 'rapport qualité-prix': 0.8595, 'hébergement et confort': 0.6425, 'propreté et sanitaires': 0.451, 'accueil et personnel': 0.1181, 'restauration et alimentation': 0.0052}",5,0.5593,Positif,"La tente au milieu de la nature était vraiment très agréable, hébergement original"
